"Indicators","2018","2019","2020","2021","2022","2023","2024"
"Market capitalization (Bill. dongs)",3961457.0,4383580.0,5293773.0,7766606.6,5226608.6,5936591.1,7173318.5
"Growth rate of market capitalization (%)",12.7,10.7,20.8,46.7,-32.7,13.6,20.8
"Market capitalization as percent of GDP (%)",56.5,56.9,65.8,91.5,54.3,57.5,62.3
"Bond market size (Bill. dongs)",1121307.0,1189085.0,1385867.0,1543282.1,1742628.7,2029930.9,2309558.7
"Bond market size as percent of GDP (%)",16.0,15.4,17.2,18.2,18.1,19.7,20.1
"Growth rate of bond market (%)",10.6,6.0,16.5,11.4,12.9,16.5,13.8
